Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_reverse_learning_init_population.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.35
	Standard Deviation = 0.9526279441628828
Average Performance = 74.03495440729483%
Runtime:
	Average = 10.978399238586427
	Total = 1097.8399238586426
Optimal = 20/100 (20.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
64.  ID = 10,552,573, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.1371, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
65.  ID = 10,579,331, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.0517, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
66.  ID = 10,587,298, Fitness = 4.0000    (Iteration: 1000), Runtime = 15.0427, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  42.86%
67.  ID = 10,589,578, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.3046, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
68.  ID = 10,591,262, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.7320, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
69.  ID = 10,598,632, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.2493, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
70.  ID = 10,611,067, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.4795, Preprocessed = 9 /36 ( 25.00%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
71.  ID = 10,643,789, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.0473, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  83.33%
72.  ID = 10,672,197, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.1671, Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
73.  ID = 10,683,662, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0315 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
74.  ID = 10,696,087, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.6597, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
75.  ID = 10,701,184, Fitness = 3.0000    (Iteration: 1000), Runtime = 14.5304, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
76.  ID = 10,713,003, Fitness = 0.0000    (Iteration:   15), Runtime = 0.1841 , Preprocessed = 26/36 ( 72.22%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
77.  ID = 10,754,124, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0317 , Preprocessed = 30/36 ( 83.33%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
78.  ID = 10,781,445, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0353 , Preprocessed = 36/36 (100.00%), Preprocessed Fitness = 0.0000    , Performance =   0.00%
79.  ID = 10,795,215, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.3676, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
80.  ID = 10,816,466, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.2199, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
81.  ID = 10,847,337, Fitness = 0.0000    (Iteration:  182), Runtime = 2.2716 , Preprocessed = 23/36 ( 63.89%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
82.  ID = 10,875,569, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.7736, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
83.  ID = 10,896,847, Fitness = 2.0000    (Iteration: 1000), Runtime = 13.9089, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
84.  ID = 10,930,056, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0198 , Preprocessed = 28/36 ( 77.78%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
