Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_different_for_each_variables.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 3.0
	Average = 1.03
	Standard Deviation = 0.8179853299418028
Average Performance = 81.44630192502532%
Runtime:
	Average = 10.70938707113266
	Total = 1070.938707113266
Optimal = 28/100 (28.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
56.  ID = 10,300,640, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.6964, Preprocessed = 21/36 ( 58.33%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
57.  ID = 10,402,342, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0156 , Preprocessed = 30/36 ( 83.33%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
58.  ID = 10,443,070, Fitness = 0.0000    (Iteration:    5), Runtime = 0.0629 , Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
59.  ID = 10,481,179, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.3921, Preprocessed = 20/36 ( 55.56%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
60.  ID = 10,508,417, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.8588, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
61.  ID = 10,527,286, Fitness = 1.0000    (Iteration: 1000), Runtime = 12.9069, Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
62.  ID = 10,535,581, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0118 , Preprocessed = 25/36 ( 69.44%), Preprocessed Fitness = 3.0000    , Performance = 100.00%
63.  ID = 10,549,902, Fitness = 0.0000    (Iteration:   61), Runtime = 0.8032 , Preprocessed = 22/36 ( 61.11%), Preprocessed Fitness = 4.0000    , Performance = 100.00%
64.  ID = 10,552,573, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.6967, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
65.  ID = 10,579,331, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.3399, Preprocessed = 17/36 ( 47.22%), Preprocessed Fitness = 5.0000    , Performance =  80.00%
66.  ID = 10,587,298, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.5486, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
67.  ID = 10,589,578, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.5242, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
68.  ID = 10,591,262, Fitness = 2.0000    (Iteration: 1000), Runtime = 16.4984, Preprocessed = 10/36 ( 27.78%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
69.  ID = 10,598,632, Fitness = 1.0000    (Iteration: 1000), Runtime = 14.8585, Preprocessed = 7 /36 ( 19.44%), Preprocessed Fitness = 7.0000    , Performance =  85.71%
