Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_rand.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 4.0
	Average = 1.58
	Standard Deviation = 1.1151681487560519
Average Performance = 70.51418439716312%
Runtime:
	Average = 11.929167556762696
	Total = 1192.9167556762695
Optimal = 19/100 (19.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
87.  ID = 11,122,064, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.8137, Preprocessed = 6 /36 ( 16.67%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
88.  ID = 11,142,331, Fitness = 0.0000    (Iteration:    1), Runtime = 0.0100 , Preprocessed = 31/36 ( 86.11%), Preprocessed Fitness = 2.0000    , Performance = 100.00%
89.  ID = 11,156,823, Fitness = 2.0000    (Iteration: 1000), Runtime = 14.7438, Preprocessed = 19/36 ( 52.78%), Preprocessed Fitness = 5.0000    , Performance =  60.00%
90.  ID = 11,244,092, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.5183, Preprocessed = 15/36 ( 41.67%), Preprocessed Fitness = 5.0000    , Performance =  40.00%
91.  ID = 11,257,378, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.5476, Preprocessed = 8 /36 ( 22.22%), Preprocessed Fitness = 7.0000    , Performance =  71.43%
92.  ID = 11,278,191, Fitness = 3.0000    (Iteration: 1000), Runtime = 15.9056, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
93.  ID = 11,289,923, Fitness = 4.0000    (Iteration: 1000), Runtime = 14.9206, Preprocessed = 5 /36 ( 13.89%), Preprocessed Fitness = 7.0000    , Performance =  42.86%
94.  ID = 11,296,205, Fitness = 3.0000    (Iteration: 1000), Runtime = 14.3147, Preprocessed = 13/36 ( 36.11%), Preprocessed Fitness = 7.0000    , Performance =  57.14%
95.  ID = 11,296,253, Fitness = 1.0000    (Iteration: 1000), Runtime = 13.5378, Preprocessed = 24/36 ( 66.67%), Preprocessed Fitness = 4.0000    , Performance =  75.00%
96.  ID = 11,302,380, Fitness = 2.0000    (Iteration: 1000), Runtime = 15.5904, Preprocessed = 14/36 ( 38.89%), Preprocessed Fitness = 6.0000    , Performance =  66.67%
