Puzzle: 6 hard
Amount: 100
Result details: ./Result/k_counter_1.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 10
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 2.0
	Average = 0.77
	Standard Deviation = 0.6760917097554149
Average Performance = 86.45643363728468%
Runtime:
	Average = 11.325661160945891
	Total = 1132.5661160945892
Optimal = 37/100 (37.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
       3335376558, 1821528324, 2690435377,  405437643, 3022369845,
       2067141369, 2543054240, 1474916321, 1482473632, 3971522729,
       2733900948, 3967391502, 3384663457,  966418187, 1941313542,
       1301234041, 3430348904, 3817329980, 2245775470, 2650726746,
        164777267, 3567533901, 2804492377, 2497581670, 2900083348,
       3562989773, 2793128463,  614151402, 3314703298, 3409321041,
        250267971, 3213719719, 2689008567, 2327387727, 2039164748,
        319352177, 2051954324,  640534345, 3266770048,   48811790,
        766642414, 2932652801, 3843927879,  558869527, 3440772863,
       1410534481,  956070563, 2499000390, 1817084728, 2331098549,
        308032915, 4265542661,  908448014, 1574861165,  406625985,
       3557122826, 2972645961, 3145055541, 3351848218, 1937218846,
       1985607939, 1900006056, 3133482240,  312961769, 1366839147,
       3433780944, 1773703640, 3997334826, 3260265260,  461432784,
        137398105, 1481242522, 3626102856,  190901650,  845070890,
       2392304334, 2916384282, 3846791384, 1176673994, 1770428685,
       3691210423, 3632795653, 4239055885, 2515455835,  983371633,
       2521440034,  466620782,  834787468, 1413227407,  914981087,
       2425470107, 1819892985, 2767049180, 1174985663, 2990436659,
       1202465198,  574720960, 2242318094, 1150676733, 1686830534,
         60815485, 3655903614, 2189633289,  626485437, 3686708700,
       2863918933,   65979338,  882086761, 3203119668, 3304136078,
       1721950048, 3705824373, 3428982196, 1051430966,  744781173,
       3547120116, 3604033852, 3418834534, 4217722087, 2360731048,
       4221188827, 2830646376, 1779078866, 2629995463, 1638410066,
       1648861725, 2538582991, 2411050102, 2159228801,  623961824,
       1866500673, 3084485245, 4289772822,  718749814, 1691737623,
       4056738904, 3117620076, 3261100124, 3017575841, 3420715396,
       3767323157,  667667267, 1227866431, 2303209773, 1122856618,
        505512265, 2803784506, 3330794542,  625668417, 2904296999,
